,cleaned_tweet,cls,count,hate_speech,off_lang,neither
37,rt hoo boy these guinea pigd love to shit shouldn t have ordered the full dozen,1.0,3.0,0.0,3.0,0.0
38,get yo bitch jumped by 6 nigguhs,1.0,3.0,0.0,3.0,0.0
39,cute dumb females trash,2.0,3.0,0.0,1.0,2.0
40,charlie furbush whydidigoogle,2.0,3.0,0.0,0.0,3.0
41,why the most ratchet bitches be talkin shit y all got nothing better to do but talk shit pick up the liq and hop on a dick,1.0,3.0,0.0,3.0,0.0
42,rt kingdineroo lmao dis bitch dumb asl,1.0,3.0,0.0,3.0,0.0
43,don t tell me ryan tannehill s better than dogshit alex smith s trash ass too fuck,1.0,3.0,0.0,3.0,0.0
44,rt rt lewis last 5 hours rt blueprint the last hour and a half of work trash just for existing,2.0,3.0,0.0,0.0,3.0
45,rt boyden it s a metaphor you dumb fucking nigger 128514 128514 128525 128525 128069 128069,1.0,3.0,1.0,2.0,0.0
46,rt 8220 ina you aint gon take a pic tho 8221 128133 not scared to i m in a japanese steakhouse tho bitch was walking quick,1.0,3.0,0.0,3.0,0.0
47,rt can kids say much when their parents pay for everything rt michele if he paying every bill i can t complain abo 8230,2.0,3.0,0.0,0.0,3.0
48,quick piece of pussy call it a drive by,1.0,3.0,0.0,3.0,0.0
49,ik his bitch ass saw me mentioned his tall ass,1.0,3.0,0.0,3.0,0.0
50,i b so quick to dub a bitch it s sad 128532 128554,1.0,3.0,0.0,3.0,0.0
51,kirchner7 mills02 fags 128567 128567,0.0,3.0,2.0,1.0,0.0
52,rt california s biggest retards don t forget about holy who just released an amazing ep,0.0,3.0,2.0,0.0,1.0
53,so are the olympics over in brazil yet or what i mean yay sports what stop looking at me like 8220 what are you queer 8221 goredskins,1.0,3.0,1.0,2.0,0.0
54,bunch of pussies,1.0,3.0,0.0,3.0,0.0
55,rt remember that one bitch ass you ate out last week,1.0,3.0,0.0,3.0,0.0
56,rt my daughter hate the freddy krueger mask i got at the crib wheneva she act up i put that bitch on for the nite,1.0,3.0,0.0,3.0,0.0
57,the chinks really hunting their food rt dog shot with arrow in n o east,0.0,3.0,2.0,1.0,0.0
58,these bitches really be out here on backpage hoe ing 128557 128557 128557 watch yo bitch she could be on there,1.0,4.0,0.0,4.0,0.0
59,sup bitches,1.0,3.0,0.0,3.0,0.0
60,some army females just bitch about everything,1.0,3.0,1.0,2.0,0.0
61,faggot,0.0,3.0,2.0,1.0,0.0
62,i m done wit this cheer team all these bitches are literally brain dead,1.0,3.0,1.0,2.0,0.0
63,really 3 hours to find paper work is retarded tarrant county courts suck wasteoftime,1.0,3.0,0.0,2.0,1.0
64,rt ugly bitch prolly so cockeyed she lookin at the dick and balls up close at the same time while suckin at the same time,1.0,3.0,1.0,2.0,0.0
65,u wanted to go in the military but yo bitch ass couldn t handle nobody shooting at u so shut yo mf mouth and salute those who did,1.0,3.0,0.0,3.0,0.0
66,rt attractive girls are always the most insecure 128589 while these shrek looking bitches walk around thinking their the shit 128129,1.0,3.0,0.0,3.0,0.0
67,these bitches climb on me climb on me 128523 128524,1.0,3.0,0.0,3.0,0.0
68,bitches be trying to squash all beef wen they find out they pregnant some hoes dont give a fuck,1.0,3.0,1.0,2.0,0.0
69,8220 imtrillasfuk snap chat names please 128527 128171 128166 8221 only bitch you can snapchatt is me,1.0,3.0,0.0,3.0,0.0
70,jada fire has never dropped me for talking to imaginary hoes,1.0,3.0,0.0,3.0,0.0
71,rt we all know a faggot named luke,1.0,3.0,0.0,3.0,0.0
72,bro i heard slaughter songs they all trash they just freestylers,2.0,3.0,0.0,0.0,3.0
73,i need some clams on the half shell down here all you can get is deep fried clam necks,2.0,3.0,0.0,0.0,3.0
74,pulled up on this coco ratchet on my way home 128514 128557 yes bitch,1.0,3.0,0.0,3.0,0.0
75,8220 cee aerii helloooo bitch 8221 bitch no ones available,1.0,3.0,0.0,3.0,0.0
76,for a faggot ass nigga that crys about people who talk about kicks he certainly makes a lot of fucking shoe comments that s y all man smfh,1.0,3.0,1.0,2.0,0.0
77,rt the looters in ferguson are so retarded that they risk arrest to get free food when ebt already pays for their food lo 8230,1.0,3.0,0.0,2.0,1.0
78,rt you aint getting no hoes to come back to the room with you if you staying at circus circus bruh,1.0,3.0,0.0,3.0,0.0
79,jason bitch what where y all be at come to town east mall u and your bitch fuck boys,1.0,3.0,0.0,3.0,0.0
80,hoes on my mind i fuck hoes all the time fattrel,1.0,6.0,0.0,6.0,0.0
81,them pretty nail bitches them bail you outta jail bitches,1.0,3.0,0.0,3.0,0.0
82,lol that s some hoe shit,1.0,3.0,0.0,3.0,0.0
83,every pussy the same but i feel like i ain t get enough,1.0,3.0,0.0,3.0,0.0
84,u on the hit list to bitch kill yo self,1.0,3.0,0.0,3.0,0.0
85,pussy love it,1.0,3.0,0.0,3.0,0.0
86,rt justmilz i honestly hate women who bitch amp complain about a nigga playing video games when he still makes time for yall them 8230,1.0,3.0,1.0,2.0,0.0
87,rt why would u let ur girl even go to a party without u thats retarded lol u must want to get cheated on,2.0,3.0,0.0,1.0,2.0
88,gotta love it when the islamofascist cow tries to make a retort about age typical muzzie idiocy,0.0,3.0,2.0,1.0,0.0
89,these hoes get thick n fat confused way more than often,1.0,3.0,0.0,3.0,0.0
90,parodies of jihadi songs more effective than asinine muslims should condemn humorisaweapon,2.0,3.0,0.0,0.0,3.0
91,rt 8220 xoxomooky why do niggas settle for easy bitches like don t y all wanna bitch that challenges you to better yoursel 8230,1.0,3.0,1.0,2.0,0.0
92,rt beautifulkeezy 8220 beautifulkeezy lmfao bitch was i talking to you 128514 128514 8221 but i m talking to you in my bubba voice 128514 128514 128514 128128,1.0,6.0,0.0,6.0,0.0
93,all you muzzy lovers need to do one thing tell muzzies in the mideast to leave israel alone don t start no shit won t be no shit israel,0.0,3.0,3.0,0.0,0.0
94,jai s hate for jay is completely irrational hahaha i still love jai though so if he needs someone called a faggot i ll call someone a fag,1.0,3.0,0.0,3.0,0.0
95,rt ariana is probably the next beyonce bitch if you don t back the fuck up,1.0,3.0,0.0,3.0,0.0
96,ahaha pussy is king,1.0,3.0,0.0,3.0,0.0
97,rt niggaz buying p y niggaz buying p y don t start this hoe shit,1.0,3.0,0.0,3.0,0.0
98,sniff perved up scally lad fuck yeah,1.0,3.0,0.0,3.0,0.0
99,i m always dumb too a extra slow ass bitch 128574 128530 128514 128584 128553 128175 128074,1.0,3.0,0.0,3.0,0.0
100,rt 8220 benny searching for these hoes i got 128533 you ain t the only one bruh,1.0,3.0,0.0,3.0,0.0
101,rt two jihadis arguing over stolen m amp m s will make your day,2.0,3.0,0.0,1.0,2.0
102,looks like my highlight of the night will be getting lewis and having a quick fag outside work shite,1.0,3.0,0.0,2.0,1.0
103,her great grandmas a hoe her grandmas a hoe her moms and a hoe and she s a hoe it s a long line of hoes grandpa carl everyone,1.0,3.0,0.0,3.0,0.0
104,that fb profile checker thing fake then a mf i just added some bitch yesterday and it had me on the top fuck fr,1.0,3.0,0.0,3.0,0.0
105,lt lt lt when it s yellow outside,2.0,3.0,0.0,0.0,3.0
106,every day i wake up celebrating why i just dodged a bullet from a crazy bitch,1.0,3.0,0.0,3.0,0.0
107,300 bitch we hot we done took flight,1.0,3.0,0.0,3.0,0.0
108,experience charlie married woman who loves hot phone sex with strangers can you get me off 27,1.0,3.0,0.0,3.0,0.0
109,one time at band camp i stuck a flute in my pussy spanish springs,1.0,3.0,0.0,3.0,0.0
110,rt flavaaaaa in ya ear that hoe live lol,1.0,3.0,0.0,2.0,1.0
111,1 100000 you are a semi evolved monkey that is desperately searching for validation and meaning in life bbqd you d be ok with mango salsa,2.0,3.0,1.0,0.0,2.0
112,rt these hoes be twerkin for birkin poppin coochie for gucci bustin wide for that prada bendin over for louis,1.0,3.0,0.0,2.0,1.0
113,i m in vegas bitches,1.0,3.0,0.0,3.0,0.0
114,for all you psychology bitches on your periods do this to chill tf out,1.0,6.0,1.0,5.0,0.0
115,when a hoe go back to her roots,1.0,3.0,0.0,2.0,1.0
116,they say i wouldn t make it now them same bitches is calling my cellular,1.0,3.0,0.0,3.0,0.0
117,you messin with broke niggahs you gon be broke niggah 1043323 1043323 1043323 1043323 10071 65039,1.0,3.0,1.0,2.0,0.0
118,i thought it was legal to beat yo hoe,1.0,3.0,0.0,3.0,0.0
119,gotta question the nicca standing next to you cut em off,1.0,3.0,0.0,3.0,0.0
120,rt 8220 i got some lightskin pussy one time and the bitch damn near had me bout to propose 8221 had some i had to immediately 8230,1.0,4.0,0.0,4.0,0.0
121,that s lil nig 128526,1.0,3.0,1.0,2.0,0.0
122,hoe,1.0,3.0,1.0,2.0,0.0
123,rt fuck these lancaster bitches they all the same,1.0,6.0,1.0,5.0,0.0
124,this being sick is for the birds,2.0,3.0,0.0,0.0,3.0
125,luu i also like flip a bitch which is gabbys qualitywords,1.0,3.0,0.0,3.0,0.0
126,dem niccas run plays too quick,1.0,3.0,0.0,2.0,1.0
127,and your an annoying ass fuck boy he could of still meet up and fight somwhere else u can shut that bitch shit up fuck boy,1.0,3.0,0.0,3.0,0.0
128,on the anniversary of 9 11 isis amp al qaeda supporters each claim ben laden as their own as a show of their jihadi authenticity pathetic,2.0,3.0,0.0,0.0,3.0
129,wilde ch3burashka sure gets to be a nit picky russian monkey bear thing sometimes doesn t he,2.0,3.0,0.0,0.0,3.0
130,rt a bitch get 20 000 followers she s a boss and starting up a boutique and wearing shades in public,1.0,3.0,0.0,3.0,0.0
131,rt you got hoes i got niggas,1.0,3.0,1.0,2.0,0.0
132,faux noise pundits don t like duck molester pro slavery racist homophobic teabagger darling phil robertson either,0.0,3.0,2.0,1.0,0.0
133,esem you don t know what your talking about retarded faggot,0.0,3.0,3.0,0.0,0.0
134,this bitch weave game serious,1.0,3.0,0.0,3.0,0.0
135,you have a redneck attitude the same people that think benghazzi is real think fox fake nws is real your one,0.0,3.0,2.0,1.0,0.0
136,i ll try tomorrow rt gonna try and eliminate the word bitch out of my vocabulary i need to start bettering myself,1.0,3.0,0.0,2.0,1.0
137,tryna be sumbody cinnamon apple 171 now i cant trust any bitch wit pussy that taste like cinnamon apple,1.0,3.0,1.0,2.0,0.0
138,i just cant stand how people get all fucking amped about it especially whiny bitches that even get scared at it,1.0,3.0,1.0,2.0,0.0
139,rt leezy bitch ya mom take it in the ass for the light bill bitch 128514,1.0,3.0,0.0,3.0,0.0
140,rt 10 brownie points for you,2.0,3.0,0.0,1.0,2.0
141,rt when my girl don t text me back i just tweet i don t text other bitches bc i don t want her texting other niggas when i d 8230,1.0,3.0,1.0,2.0,0.0
142,instagram have you looking at motherfuckers like who the fuck does this bitch nigga think she he isss,1.0,3.0,0.0,3.0,0.0
143,people are fucking retarded lol,0.0,3.0,2.0,1.0,0.0
144,rt rihanna really is trash,2.0,3.0,0.0,1.0,2.0
145,i see your tweets bitch lmfao rt von kick me to the curb i should call n curse her ass out,1.0,3.0,0.0,3.0,0.0
146,ff has been consistently one of marvel s worst properties ultimate ff was good but the entire ultimate universe is now in the trash,2.0,3.0,0.0,0.0,3.0
147,rt spitta all that high fashion leather gear u wearin to impress a bitch i got at her wit a dickie shirt and some adidas slides 8230,1.0,3.0,0.0,3.0,0.0
148,i hate hoes who be looking all nice nshit with their hair and nails done but they kids look like they barely survived a tornado,1.0,3.0,0.0,3.0,0.0
149,because if nobody was judging the birds this account wouldn t even cause a ripple in d ocean,2.0,3.0,0.0,0.0,3.0
150,i love fat bitches that s my fucking problem poo,1.0,3.0,0.0,3.0,0.0
151,i know how you feel wait no i don t perfect week for me would be yanks not getting lee gosox gopats,2.0,3.0,0.0,0.0,3.0
152,baybay 12 pussy heels haha,1.0,3.0,0.0,3.0,0.0
153,usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team 187 he s a bitch,2.0,3.0,0.0,1.0,2.0
154,hittin licks what you get outta that you amp yo boys is some pussy cats,1.0,3.0,0.0,3.0,0.0
155,fit lads nice gear these scally lads n trainers would get it,2.0,3.0,0.0,0.0,3.0
156,rt james3 william i don t care tho cracker,0.0,3.0,2.0,0.0,1.0
157,yes lawd 171 god took extra time on you 8220 you have lips like kylie jenner bitch i m black,1.0,3.0,0.0,2.0,1.0
158,128557 128514 boa i m trying see if that bitch was going or not me amp vick stay agru about he don t get hoes 128514,1.0,6.0,0.0,6.0,0.0
159,bitch add me,1.0,3.0,0.0,2.0,1.0
160,chris a faggot,1.0,3.0,0.0,3.0,0.0
161,im ready for today 127936 128308 9898 iu iubb hoosiers hoosierstate ncaa big10 michigan gameday btown 8230,2.0,3.0,0.0,0.0,3.0
162,bitch who is you,1.0,6.0,1.0,5.0,0.0
163,rt blaxican,1.0,3.0,0.0,2.0,1.0
164,rt dumb bitch,1.0,3.0,0.0,3.0,0.0
165,rt yesallmen these hoes ain t loyal,1.0,3.0,0.0,3.0,0.0
166,julie tell them crybaby blacks to get someone blk and dress them up white faced niggers always whining,0.0,3.0,3.0,0.0,0.0
167,they do the pussy good,1.0,3.0,0.0,3.0,0.0
168,they probably hate me even more because not only do i look white when i m technically a poc but i have white hair now i m double cracker,1.0,6.0,1.0,3.0,2.0
169,truth rt david is the charlie brown of scandal,2.0,3.0,0.0,0.0,3.0
170,ion got no type bad bitches is the only thing that i like,1.0,3.0,0.0,3.0,0.0
171,ugly goldigging cunt u probably have an uncircumcised penis faggot,1.0,3.0,0.0,3.0,0.0
172,rt suicide girl hopeful how about getting a job hopeful or going to school hopeful you silly bitches,1.0,3.0,0.0,3.0,0.0
173,i only be with older men cause they re more mature that supposed to fool us bitch,1.0,3.0,0.0,3.0,0.0
174,say i m wrong but i can treat that pussy right,1.0,3.0,0.0,2.0,1.0
175,rt adina these hoes getting pregnant just to put some shit like shaqualidaemommy barackeishamommy in they ig bio 8230,1.0,3.0,0.0,3.0,0.0
176,can i bring another bitch or nah,1.0,3.0,1.0,2.0,0.0
177,rt ironsheik hello you are now official big time pussy,1.0,3.0,0.0,3.0,0.0
178,level them hoes ain t thick at all u clowning,1.0,6.0,0.0,6.0,0.0
179,yeah what a bitch eh life sucks everyone should have the equal opportunity to lose their shirt in divorce court,1.0,3.0,0.0,3.0,0.0
180,rt i have no hoes 128581,1.0,3.0,0.0,3.0,0.0
181,n dat bitch sound like a man if dats ya grandma fucc yu too,1.0,3.0,1.0,2.0,0.0
182,this is why my mother isn t allowed to make brownies,2.0,3.0,0.0,0.0,3.0
183,rt he rip that bitch 128175,1.0,3.0,0.0,3.0,0.0
184,mace for your wife charlie brown rejectedpeanutsspecials,2.0,3.0,0.0,0.0,3.0
185,rt brown 30 people r retarded for thinking you can eat clean food all day and lose weight calories are calories people,1.0,3.0,0.0,2.0,1.0
186,photo morning bitches,1.0,3.0,0.0,3.0,0.0
187,rt spewed no you stupid redneck animal husbandry does not mean you can get hitched to your blue tick hound misty,0.0,3.0,3.0,0.0,0.0
188,my momma saw how the girls danced and was like 128563 grandma was like shake that ass hoe,1.0,6.0,0.0,6.0,0.0
189,i must be a bitch,1.0,3.0,0.0,3.0,0.0
190,guy tweets i wanna eat some pussy follower replies facts girl tweets i wanna suck some dick follower replies hoe not fair,1.0,3.0,0.0,3.0,0.0
191,rt joey badass said traded in my nikes for a new mic i guess it s safe to say he sold his soles for a new life,2.0,3.0,0.0,1.0,2.0
192,idgaf about you or ya mens ya bitch none of these bitches y all all can fuck off for all i care,1.0,3.0,1.0,2.0,0.0
193,rt kwest ima buy dat bitch a jump rope bitches live jumpin 2 conclusions,1.0,3.0,0.0,3.0,0.0
194,rt my advicee if you gonna fuck my girl then dont pull her hair nigga i paid 200 for that bitch weave,1.0,3.0,0.0,3.0,0.0
195,your a punk pussy ass bitch dude you don t have the balls to fight all you wanna do is wanna hit girls your a fuckin bitch,1.0,3.0,0.0,3.0,0.0
196,bum bitch won t even my type,1.0,3.0,0.0,3.0,0.0
197,hey okrah just wake up already you already know bammy and moochie are in it for the commies stop with the racist whitey hate crap,1.0,3.0,0.0,2.0,1.0
198,lmao did u really just call me a hoe lol yeah you hoe,1.0,3.0,0.0,3.0,0.0
199,miley cyrus got the hardest song in the club 128514 128514 128514 128514 j s ain t on my feet tho these hoes love these boots 9996 65039 9996 65039 9996 65039,1.0,3.0,0.0,3.0,0.0
200,7 15 needs to hurry up it s chilly in this bitch,1.0,3.0,0.0,2.0,1.0
201,real nigga need a real bitch just somebody i can chill with 128107 10084,1.0,3.0,0.0,3.0,0.0
202,larsen good bitch 128527,1.0,3.0,0.0,3.0,0.0
203,how bout them cowboys shutup pussy,1.0,3.0,1.0,2.0,0.0
204,retard,1.0,3.0,1.0,2.0,0.0
205,next bitch i fuck i m goin to her spot lol,1.0,3.0,1.0,2.0,0.0
206,photo here some kimora boobies for you 128139 128298 this is how unlock before i slice a bitch kimorablac,1.0,3.0,0.0,3.0,0.0
207,ibarra95 uhh no bitch i never overplayed itv,1.0,3.0,0.0,3.0,0.0
208,vertybstard emandm boooooooo that was trash,2.0,3.0,0.0,0.0,3.0
209,where are all those whiny bitches when kris left how come lulu ain t gettin shit,1.0,3.0,0.0,3.0,0.0
210,a girl knows when a niggah just trynna fuck,1.0,3.0,0.0,3.0,0.0
211,rt once i take my bra off don 8217 t ask me to do shit for u bitch bc once that bra comes off i am clocked out of life i am do 8230,1.0,3.0,0.0,2.0,1.0
212,lranderson that hoe over that,1.0,3.0,0.0,3.0,0.0
213,you motherfuckin bullshit slingin son of a whore you disgraced all vets with ur crap now go off to pussy land where u belong,1.0,3.0,0.0,3.0,0.0
214,rt i ll naturally slap the shit outa oomf that bitch talk to much,1.0,3.0,0.0,3.0,0.0
215,you niggahs actin like hoes i can sale those 1041204 1041204 1041636,1.0,3.0,0.0,3.0,0.0
216,boom bitches,1.0,3.0,0.0,3.0,0.0
217,rt 12 lmao these niggas act like lil bitches,1.0,3.0,0.0,3.0,0.0
218,i never played halo too busy slaying bitches,1.0,3.0,0.0,3.0,0.0
219,i m retarded hungover and all we had were beers a lot of beers,1.0,3.0,0.0,2.0,1.0
220,no this little hood bitch did not just try to take me to task for joking with my niece about not being a lesbian ch gt gt,1.0,3.0,0.0,3.0,0.0
221,rt you a hoe if you give your number to another nigga while you got a man,0.0,3.0,2.0,1.0,0.0
222,rt aerii what s good bitch,1.0,3.0,0.0,3.0,0.0
223,some white bitch on facebook lol,1.0,3.0,0.0,3.0,0.0
224,we in this bitch,1.0,3.0,0.0,3.0,0.0
225,rt wait why do niggas get to fw they exe s friend but when girls fw her exes friend she a hoe lol,1.0,3.0,0.0,3.0,0.0
226,ohh amp btw when you get a call from 24 blame bitch keeps signing up people bc she wants gym buddies lol,1.0,4.0,0.0,4.0,0.0
227,rt when gay girls suck pussy from a bitch who just took a plan b pill the other day that means the munching hoe ate plans 8230,1.0,3.0,0.0,3.0,0.0
228,you niggers cheat on ya gf s smh,1.0,3.0,1.0,2.0,0.0
229,me and peter have always been slaying these hoes,1.0,3.0,1.0,2.0,0.0
230,i wish i could go to dat bitch rt,1.0,3.0,0.0,2.0,1.0
231,i don t think he can beat mayweather but he s far from trash unlike floyd he actually put maidana down,2.0,3.0,0.0,1.0,2.0
232,took uber to amp from thr shakey club last weekend 12 total cheaper than the 20 parking had 8 extra to throw at the hoes,1.0,3.0,0.0,2.0,1.0
233,rt vin scully once called me a camel jockey liesaboutvinscully,0.0,3.0,2.0,1.0,0.0
234,damn change change niccas,1.0,6.0,1.0,5.0,0.0
235,i hate a think she know how to out head type bitch foh,1.0,3.0,0.0,3.0,0.0
236,i m a faggot,0.0,3.0,2.0,1.0,0.0
237,con t also provide colored stickers to place on the nametags so that members can indicate their preferred pronouns,2.0,3.0,0.0,0.0,3.0
238,yep rt nope and never will rt fellas u ever had some pussy so good you send a so what are we text,1.0,3.0,0.0,2.0,1.0
239,am i the only gay man without a fag hag i guess i am,1.0,3.0,0.0,3.0,0.0
240,bout to be in ike a couple hours,2.0,3.0,0.0,0.0,3.0
241,lol that tweet zebra,2.0,3.0,0.0,0.0,3.0
242,rt ion feel dese nihhas or bitches 300,1.0,3.0,1.0,2.0,0.0
243,wats up with ppl calling me foriegn bitch now,1.0,3.0,0.0,3.0,0.0
244,yall couldn t wait till halloween to dress up like hoes,1.0,3.0,0.0,3.0,0.0
245,bahr go get that sum bitch,1.0,3.0,0.0,3.0,0.0
246,none of my bitches can stay over,1.0,3.0,0.0,3.0,0.0
247,she was the principle for a ghetto elementary school i doubt it but fingers crossed 128527,1.0,3.0,0.0,2.0,1.0
248,she was always a pathetic mutt desperately seeking attention amp a purpose no matter what jp writes that will never change,2.0,3.0,0.0,0.0,3.0
249,rudy throws fastballs near charlie 8217 s chin no sweat crist ducking giuliani campaign politics in florida dog,2.0,3.0,0.0,0.0,3.0
250,but no one calls him a pussy for his injuries,1.0,3.0,0.0,3.0,0.0
251,fucc droppin songs when yu gon drop a mixtape nicca,1.0,3.0,0.0,3.0,0.0
252,rt if i got hoes one of my hoes if not shutup amp never say it again,1.0,3.0,0.0,3.0,0.0
253,i hate when people tell me i have to many tattoos and they make me look ugly like bitch fuck you,0.0,3.0,2.0,1.0,0.0
254,rt these bitches ain t real 128514,1.0,3.0,0.0,3.0,0.0
255,rt right mannn we had hoes like that wen i was in school they all had babies da 8230,1.0,3.0,0.0,3.0,0.0
256,i been thugging theses hoes since pre school 128514,1.0,3.0,0.0,2.0,1.0
257,faux noise pundits don t like duck molester pro slavery racist homophobic teabagger darling phil robertson either,0.0,3.0,2.0,0.0,1.0
258,you let me know then lol i ll go over and kill all them hoes,1.0,3.0,1.0,2.0,0.0
259,rt i almost ran this fine red bitch over damn lol,1.0,3.0,0.0,3.0,0.0
260,my oriental gallery blog the new land of free enterprise,2.0,3.0,0.0,0.0,3.0
261,rt devante now let s get onto you you slingy dingy ugly salamander lookin bitch i will not waist my time tweeti 8230,1.0,3.0,0.0,3.0,0.0
262,just ate a wees brownie and is seeing random cats,2.0,3.0,0.0,1.0,2.0
263,damn i m in da mood to eat sum pussy who got it fresh on a platter for me teamfluffnevabluff,1.0,3.0,0.0,3.0,0.0
264,rt i hate these mo ne davis commercials bitch is gonna end up either a dyke or a loser like every other female,1.0,3.0,1.0,2.0,0.0
265,rt that movie was trash,2.0,3.0,0.0,0.0,3.0
266,my instagram is being a bitch and telling me i can t follow this person fuck this,1.0,3.0,0.0,3.0,0.0
267,i witnessed ace hoe soo many niggas at the gardens growing up 128514 128514 128514 i m talking strong armed hoein too 128170,1.0,3.0,1.0,2.0,0.0
268,i m rick james bitch,1.0,3.0,0.0,2.0,1.0
269,goodnight pretty bitches n real niggas fuck da rest,1.0,3.0,0.0,3.0,0.0
270,life is ya professor better know that bitch is gone test ya,1.0,3.0,0.0,3.0,0.0
271,rt 215 1 2 3 4 how many niggers are in my store i knowwwww your stealing 128514 128514 128514 that vine still be having me weak,1.0,3.0,1.0,2.0,0.0
272,rt winston connects with greene on the slant across the middle for the score ball game is tied 17 17,2.0,3.0,0.0,0.0,3.0
273,8220 there s a difference between being actually crazy amp aspiring crazy 8221 real shit i can t stand fake crazy bitches,1.0,3.0,0.0,2.0,1.0
274,charlie sheen s video message to president obama,2.0,3.0,0.0,0.0,3.0
275,and when bitches be like me and him against the world bitch don t nobody even know y all together nobody hating,1.0,3.0,0.0,3.0,0.0
276,rt when people say coloured,2.0,3.0,0.0,0.0,3.0
277,fuck you bitch lol,1.0,3.0,0.0,3.0,0.0
278,a hoe gone be a hoe they ain t 128175,1.0,9.0,0.0,9.0,0.0
279,bouta rasengan all these stupid bitches,1.0,3.0,0.0,3.0,0.0
280,geekylesbianscientists theblairbetch douglasrichardsonships kayla bird okay but consider this though,1.0,4.0,1.0,2.0,1.0
281,mt browngal gouache monkey tiki,2.0,3.0,0.0,0.0,3.0
282,slap the bitch is fun didnt know beer wasnt that bad,1.0,3.0,0.0,3.0,0.0
283,is yankee in a good mood today or what,2.0,3.0,0.0,0.0,3.0
284,rt chi ain t no bitch then you got them assyrian kings on california and peterson 128081 128081,1.0,3.0,0.0,3.0,0.0
285,rt i don t understand if all these hoes say they getting money why tf they on twitter with that childish shit bitch it s 20 8230,1.0,6.0,0.0,6.0,0.0
